id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
7eJrCgHtKkAuxX5kaiWxwI,piano,"Dearly Beloved (From ""Kingdom Hearts"") [2012]",Kyle Landry,"Dearly Beloved (From ""Kingdom Hearts"") [2012] - Single",https://i.scdn.co/image/ab67616d0000b2737c7cdab887e5c0a98715df1c,2013-01-02,,https://open.spotify.com/track/7eJrCgHtKkAuxX5kaiWxwI,0.862,0.312,0.0726,0.877,0.0964,-18.549,0.0492,87.219,0.0384,Sleepy
4N07lc7m6XAKRXBKSQx3aR,piano,"4 Impromptus, Op. 142, D. 935: Impromptu No. 3 in B-Flat Major","Franz Schubert,Jenő Jandó",Schubert: Impromptus (Complete),https://i.scdn.co/image/ab67616d0000b273bc822272e4054d4311cae525,1990-03-15,https://p.scdn.co/mp3-preview/19dd2db7189cd494dbf2e6e181d3975d14c291df?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4N07lc7m6XAKRXBKSQx3aR,0.986,0.184,0.0593,0.899,0.0884,-27.134,0.0445,64.718,0.112,Sleepy
4G5vKWM28EOVr2qWUbXodJ,piano,Melodia Africana III,Ludovico Einaudi,I giorni,https://i.scdn.co/image/ab67616d0000b27303052109aee86d1b0f04e63a,2001,,https://open.spotify.com/track/4G5vKWM28EOVr2qWUbXodJ,0.977,0.131,0.0876,0.842,0.0901,-25.247,0.0399,168.068,0.0366,Sleepy
4hxlBScGRBIwP7FYjVzBBN,piano,Fjögur píanó,Sigur Rós,Valtari,https://i.scdn.co/image/ab67616d0000b27344c9bf793ef4b48ba1f2b98c,2012-05-29,,https://open.spotify.com/track/4hxlBScGRBIwP7FYjVzBBN,0.844,0.14,0.141,0.846,0.12,-19.327,0.0403,73.649,0.0396,Sleepy
3SYpNSW2sXVghgwW1Ffm6I,piano,Willow,Helen Jane Long,Intervention,https://i.scdn.co/image/ab67616d0000b273fb34c7a09f21a5e5108a8c39,2012-08-27,https://p.scdn.co/mp3-preview/9c1be5fb3b1492f23aa4a8507b0086999c8802d4?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3SYpNSW2sXVghgwW1Ffm6I,0.971,0.19,0.0704,0.84,0.117,-20.242,0.0363,145.072,0.098,Sleepy
13UOZXo6XMfbkThLBQK9Hk,piano,Forest Fantasy,Yiruma,Blind Film,https://i.scdn.co/image/ab67616d0000b273f5d341bd7b0c8b2d4e07387d,2013-10-08,https://p.scdn.co/mp3-preview/28c71bb4711360478c15858d4eea666c301f088a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/13UOZXo6XMfbkThLBQK9Hk,0.994,0.682,0.146,0.908,0.116,-16.472,0.0445,109.987,0.109,Sleepy
5i7fnMbiq177yKYgYK7RWK,piano,Il Viaggio D'Inverno,Ludovico Einaudi,Sotto Falso Nome,https://i.scdn.co/image/ab67616d0000b273ab759f66475e11bea3abccf9,2004-02-20,https://p.scdn.co/mp3-preview/4f72e5ba0f076064ae07c480ffe12a65dd0dc02c?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5i7fnMbiq177yKYgYK7RWK,0.989,0.16,0.152,0.91,0.116,-16.181,0.0497,80.21,0.0399,Sleepy
6onVtBLxZpq4cwMa3fUMJs,piano,Moonlight Sonata: Adagio Sostenuto,Ludwig van Beethoven,Classical Best Of,https://i.scdn.co/image/ab67616d0000b273fcd55c46457671aa89ff1b51,2009-06-01,,https://open.spotify.com/track/6onVtBLxZpq4cwMa3fUMJs,0.993,0.151,0.00153,0.914,0.0711,-45.393,0.0451,75.079,0.127,Sleepy
3753p8cD16MkkqIFxfvw1f,piano,Black Stallion,George Winston,Summer,https://i.scdn.co/image/ab67616d0000b273ed8880f327fdd790a810d4b2,1991-10-08,,https://open.spotify.com/track/3753p8cD16MkkqIFxfvw1f,0.987,0.604,0.0188,0.909,0.094,-19.258,0.12,102.647,0.324,Sleepy
7qDnHK23BZ2EEgn5KSbb5Q,post-dubstep,One Week Over,SBTRKT,2020,https://i.scdn.co/image/ab67616d0000b273a568c37022f059a066db93c3,2010,,https://open.spotify.com/track/7qDnHK23BZ2EEgn5KSbb5Q,0.345,0.724,0.363,0.85,0.14,-16.19,0.0683,135.039,0.0731,Sleepy
4zReKbSLccxAtZVkKVAKUp,psych-rock,May The Circle Remain Unbroken - Original,13th Floor Elevators,Bull Of The Woods,https://i.scdn.co/image/ab67616d0000b2733b03d6bf299412c3719ce36f,2006-04-14,,https://open.spotify.com/track/4zReKbSLccxAtZVkKVAKUp,0.789,0.47,0.312,0.885,0.608,-17.511,0.0698,125.136,0.304,Sleepy
7p98zfyf7VkIndtmWA6iGr,sleep,The Untouchables-The Death Theme (Ennio Morricone),"Orchestra Seattle,George Shangrow",A Tribute to Sean Connery,https://i.scdn.co/image/ab67616d0000b273bb9ee89df837850fbc8ebb4e,2012-04-18,https://p.scdn.co/mp3-preview/8b7d22fb2d6e5ead9f63ef87c72c57205e3b6151?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7p98zfyf7VkIndtmWA6iGr,0.975,0.076,0.0341,0.963,0.104,-28.668,0.0443,81.758,0.0768,Sleepy
7whKNTYukx5k5Iq89Xb1K4,sleep,Candles,Jon Hopkins,Monsters (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2736d0c0e547b43686ec04603ac,2010-11-29,,https://open.spotify.com/track/7whKNTYukx5k5Iq89Xb1K4,0.868,0.298,0.148,0.843,0.11,-26.245,0.0438,108.658,0.0603,Sleepy
0siYhJVENxR6aeqH9uAAs3,sleep,Dreaming Of Bag End,Howard Shore,The Hobbit: An Unexpected Journey Original Motion Picture Soundtrack (International Version),https://i.scdn.co/image/ab67616d0000b273e294f3851ace91a3be2c17f2,2012-01-01,,https://open.spotify.com/track/0siYhJVENxR6aeqH9uAAs3,0.732,0.195,0.124,0.896,0.15,-19.457,0.0395,95.319,0.0396,Sleepy
6ybwRYDiWlC7N8LXcaQ1Wz,songwriter,Show Me Heaven (from Days Of Thunder),Royal Philharmonic Orchestra,The Best Of,https://i.scdn.co/image/ab67616d0000b273ed3c9fb6b57263951f6b0a4a,2009-08-01,,https://open.spotify.com/track/6ybwRYDiWlC7N8LXcaQ1Wz,0.208,0.401,0.243,0.888,0.0601,-18.055,0.0287,159.931,0.266,Sleepy
3LVu9UknpRqRoo8huEBiXr,soundtracks,Cybertron,Steve Jablonsky,Transformers: The Score,https://i.scdn.co/image/ab67616d0000b273fb97e773be6149c9c935880c,2007-10-01,https://p.scdn.co/mp3-preview/89fb0ed7d2885b2a3e81abdf1cfb3c2365395a7a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3LVu9UknpRqRoo8huEBiXr,0.199,0.0741,0.136,0.888,0.108,-21.801,0.0375,80.591,0.0313,Sleepy
2SGa3eKYVadfZ22PSKU4YK,soundtracks,Am I Not Merciful?,"Hans Zimmer,Gavin Greenaway,The Lyndhurst Orchestra",Gladiator - Music From The Motion Picture,https://i.scdn.co/image/ab67616d0000b273f3a2d7f692fcad25284c5f1e,2000-04-25,,https://open.spotify.com/track/2SGa3eKYVadfZ22PSKU4YK,0.116,0.0883,0.0809,0.557,0.112,-21.19,0.0402,86.525,0.0373,Sleepy
1tz32t5uHyjFxXHStEs3aA,soundtracks,Release,Deborah Lurie,9 Original Motion Picture Soundtrack,https://i.scdn.co/image/ab67616d0000b273123531febdc772d0dd28e874,2009-08-31,,https://open.spotify.com/track/1tz32t5uHyjFxXHStEs3aA,0.729,0.209,0.0768,0.936,0.28,-22.436,0.0419,67.609,0.0309,Sleepy
6GjDgtYc32aykZLBwXsJU4,soundtracks,On Stranger Tides,Hans Zimmer,Pirates Of The Caribbean: On Stranger Tides (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2739b486780ee7bdaddfbb93775,2011-01-01,,https://open.spotify.com/track/6GjDgtYc32aykZLBwXsJU4,0.482,0.122,0.295,0.971,0.0826,-14.032,0.052,83.846,0.0398,Sleepy
7G799Mcsbvfn5TSWZ7u7gI,soundtracks,Radical Notion,Hans Zimmer,Inception (Music From The Motion Picture),https://i.scdn.co/image/ab67616d0000b273bb53ecc4d4e007f8c0464753,2010-07-09,https://p.scdn.co/mp3-preview/da63df2b00de87566b92888629c405d917ca619b?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7G799Mcsbvfn5TSWZ7u7gI,0.614,0.176,0.21,0.85,0.131,-22.375,0.047,168.017,0.038,Sleepy
3MjVnlXRHeIMQ8Dvb43Ajm,soundtracks,Frost Giant Battle,Patrick Doyle,Thor,https://i.scdn.co/image/ab67616d0000b273906ed97342960514f9553fa8,2011-01-01,,https://open.spotify.com/track/3MjVnlXRHeIMQ8Dvb43Ajm,0.22,0.419,0.594,0.959,0.346,-14.876,0.0474,82.847,0.16,Sleepy
71u5sCMNIR0FSaVBItszO3,soundtracks,Rose Of Arimathea,Hans Zimmer,The Da Vinci Code,https://i.scdn.co/image/ab67616d0000b2735ea309e496577133ac912c0c,2006-01-01,,https://open.spotify.com/track/71u5sCMNIR0FSaVBItszO3,0.925,0.0676,0.0209,0.899,0.101,-27.399,0.039,73.632,0.0367,Sleepy
1s9GYilV9guTnwidLuBV7I,soundtracks,The Hunger Games,James Newton Howard,The Hunger Games: Original Motion Picture Score,https://i.scdn.co/image/ab67616d0000b2734f240fc627be3ada958924e9,2012-01-01,,https://open.spotify.com/track/1s9GYilV9guTnwidLuBV7I,0.935,0.194,0.106,0.752,0.0833,-27.097,0.0389,99.537,0.0387,Sleepy
0tXYcptTvLtFKGTzZnsd0b,soundtracks,A Promise,Alan Silvestri,The Avengers (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b273b0b9aaf0ef903add8f96ff6e,2012-01-01,,https://open.spotify.com/track/0tXYcptTvLtFKGTzZnsd0b,0.798,0.102,0.267,0.895,0.209,-13.828,0.0385,74.56,0.0383,Sleepy
5JtTSaH8W6UVqViPgpcqTq,soundtracks,Rachel's Song,Vangelis,Blade Runner (Music From The Original Soundtrack),https://i.scdn.co/image/ab67616d0000b2739ccdbb2b52240c4c500cac4c,1994-06-06,https://p.scdn.co/mp3-preview/f8ad0909c9dd0048927498423a94abd409396473?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5JtTSaH8W6UVqViPgpcqTq,0.712,0.377,0.238,0.922,0.117,-19.388,0.0305,58.722,0.0722,Sleepy
5pydCYU7m8wcg5GWqi7d1p,soundtracks,Mass Effect 3: a Future For the Krogan/An End Once and For All,"Sarah Covey,London Philharmonic Orchestra",The Greatest Video Game Music 2,https://i.scdn.co/image/ab67616d0000b273441d1be1e00af07b430d2a0a,2012-11-06,https://p.scdn.co/mp3-preview/011b380b1f41d990113378d944959bb823c53bab?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5pydCYU7m8wcg5GWqi7d1p,0.881,0.078,0.0796,0.963,0.0652,-23.297,0.0359,78.418,0.0394,Sleepy
5au9A3FX9KjzfPXiobVu4u,soundtracks,Mutant and Proud,Henry Jackman,X-MEN: FIRST CLASS,https://i.scdn.co/image/ab67616d0000b273a3476ff29ca1b705554694ff,2011-05-30,https://p.scdn.co/mp3-preview/869ddd17addc91d254dc19417a33586c2f9521c6?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5au9A3FX9KjzfPXiobVu4u,0.831,0.17,0.143,0.955,0.116,-15.288,0.0467,120.028,0.0327,Sleepy
1hx9S1gyjUzDm6QrsEYxL8,soundtracks,Destiny,Harry Gregson-Williams,Prince Of Persia: The Sands Of Time (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b273cec878a0267fb5ac77de21fc,2010-01-01,,https://open.spotify.com/track/1hx9S1gyjUzDm6QrsEYxL8,0.901,0.077,0.0681,0.923,0.0516,-19.366,0.0432,81.428,0.0343,Sleepy
1pPruJPGe5KHjKXRT7CPhw,soundtracks,"The Last Debate (feat. Sissel Performing ""Asëa Aranion"")",Howard Shore,The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition),https://i.scdn.co/image/ab67616d0000b2732b4d071f7824b2c60c3b85cd,2003-11-24,https://p.scdn.co/mp3-preview/f0bc61c3ea58a20d498f6f29fd34346d616f2ee8?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1pPruJPGe5KHjKXRT7CPhw,0.938,0.0708,0.0509,0.898,0.136,-24.076,0.05,76.346,0.0327,Sleepy
0U7aBoFU8RKYymRS2WMQw6,soundtracks,Titanic Suite,James Horner,Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,https://i.scdn.co/image/ab67616d0000b273ccdf9a5a2e2054b0e9d65c04,1997,https://p.scdn.co/mp3-preview/66893d24e031ff3e2f11defec17287fe0d600061?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0U7aBoFU8RKYymRS2WMQw6,0.857,0.0998,0.0521,0.765,0.209,-23.038,0.0412,89.005,0.0339,Sleepy
5j88egIxPmPOwOIiPKisWl,soundtracks,The Palantír,Howard Shore,The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition),https://i.scdn.co/image/ab67616d0000b2732b4d071f7824b2c60c3b85cd,2003-11-24,https://p.scdn.co/mp3-preview/c3abfd3246eb31bfb4d902b0f608bdb145402b6f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5j88egIxPmPOwOIiPKisWl,0.396,0.181,0.308,0.813,0.385,-16.625,0.0765,77.401,0.0356,Sleepy
0dilqERurek1iQzsVbVtOv,soundtracks,Banishment,Patrick Doyle,Thor,https://i.scdn.co/image/ab67616d0000b273906ed97342960514f9553fa8,2011-01-01,,https://open.spotify.com/track/0dilqERurek1iQzsVbVtOv,0.0216,0.139,0.212,0.906,0.0843,-16.525,0.0372,82.772,0.0281,Sleepy
7e3ROxgIM9zUpyHrh5C3ze,soundtracks,The Passing of the Grey Company,Howard Shore,The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition),https://i.scdn.co/image/ab67616d0000b2732b4d071f7824b2c60c3b85cd,2003-11-24,https://p.scdn.co/mp3-preview/913a3ae241774bd523830fe94ba42bf627f0744a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7e3ROxgIM9zUpyHrh5C3ze,0.95,0.0836,0.024,0.929,0.104,-31.059,0.0451,84.904,0.0321,Sleepy
3VdzKymHyCA7OQdUiDREKF,soundtracks,Rise,Hans Zimmer,The Dark Knight Rises,https://i.scdn.co/image/ab67616d0000b273b8291b49fa74d2911798bd29,2012-08-29,https://p.scdn.co/mp3-preview/1ea527e2fb21f2a7bb16c0a5d290df6f790383ed?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3VdzKymHyCA7OQdUiDREKF,0.528,0.121,0.319,0.862,0.0932,-16.991,0.0372,94.89,0.0399,Sleepy
7b32aLn3gja5SECcWjD7Yz,soundtracks,Almost Home,Trent Reznor and Atticus Ross,The Social Network,https://i.scdn.co/image/ab67616d0000b273897cd4eeff3174110aa6230b,2010-09-28,https://p.scdn.co/mp3-preview/ac5bc5eab2985265623aa1e8902abcc4cfe7b387?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7b32aLn3gja5SECcWjD7Yz,0.66,0.564,0.243,0.838,0.171,-15.238,0.0307,106.0,0.215,Sleepy
3Lt5817WbIBT9Dp3Kv4J9r,soundtracks,Decepticons,Steve Jablonsky,Transformers: The Score,https://i.scdn.co/image/ab67616d0000b273fb97e773be6149c9c935880c,2007-10-01,https://p.scdn.co/mp3-preview/8a689484c5bf94560582300eb64a336402d158e7?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3Lt5817WbIBT9Dp3Kv4J9r,0.289,0.319,0.4,0.894,0.106,-17.873,0.0396,140.029,0.282,Sleepy
1BfF1EHnLG6Bz7e0YLKk1Z,soundtracks,The Wedding - Instrumental,James Horner,Deep Impact - Music from the Motion Picture,https://i.scdn.co/image/ab67616d0000b2737b6629d1f166e48044e98200,1998-04-03,https://p.scdn.co/mp3-preview/9933b31df0067541b27e8d3b46a83e5e597d2ed1?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1BfF1EHnLG6Bz7e0YLKk1Z,0.894,0.157,0.00891,0.742,0.0417,-38.223,0.0416,133.822,0.0343,Sleepy
4HoCLPoxBN7Tr8UziE6tLV,soundtracks,Preparing The Chariots,James Newton Howard,The Hunger Games: Original Motion Picture Score,https://i.scdn.co/image/ab67616d0000b2734f240fc627be3ada958924e9,2012-01-01,,https://open.spotify.com/track/4HoCLPoxBN7Tr8UziE6tLV,0.354,0.455,0.213,0.912,0.562,-23.831,0.0317,135.033,0.244,Sleepy
5CxLlTsLRxZJCzsHYEBIfj,soundtracks,Daniel's 9th Cipher,Hans Zimmer,The Da Vinci Code,https://i.scdn.co/image/ab67616d0000b2735ea309e496577133ac912c0c,2006-01-01,,https://open.spotify.com/track/5CxLlTsLRxZJCzsHYEBIfj,0.927,0.0614,0.0688,0.859,0.286,-27.02,0.0564,58.163,0.0263,Sleepy
0Dkibk70FDp6t7eOZNemNQ,soundtracks,Una Mattina,Ludovico Einaudi,Una Mattina,https://i.scdn.co/image/ab67616d0000b273c0c021c0ac135d923b3a0ddc,2004-01-01,,https://open.spotify.com/track/0Dkibk70FDp6t7eOZNemNQ,0.991,0.231,0.0297,0.878,0.0742,-31.544,0.0579,131.413,0.07,Sleepy
1zxRVxqYS312yXseGxthDi,study,"Overture (Suite) No. 3 in D Major, BWV 1068: II: Air on a G String","Johann Sebastian Bach,The Cavendish Orchestra,Terry Cavendish",Great Composers - J.S. Bach,https://i.scdn.co/image/ab67616d0000b2736885a2281466c3b1554b7448,2002,,https://open.spotify.com/track/1zxRVxqYS312yXseGxthDi,0.743,0.101,0.236,0.859,0.181,-16.914,0.0387,85.807,0.0397,Sleepy
4ir6xoRDxJmUikNTi0t7Cp,study,The Arrival of Baby Harry,John Williams,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,https://i.scdn.co/image/ab67616d0000b27313f982aa5c43146c3d2c1964,2001-10-30,https://p.scdn.co/mp3-preview/08de35ae7e16d381711200e85665738eea18ddab?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4ir6xoRDxJmUikNTi0t7Cp,0.898,0.0761,0.042,0.648,0.134,-24.631,0.0396,80.529,0.0349,Sleepy
2JPF4tCg8thUuISn496ynn,study,The Light,The Album Leaf,Into The Blue Again,https://i.scdn.co/image/ab67616d0000b273ef3b1944a916380fd094d26b,2006-11-08,,https://open.spotify.com/track/2JPF4tCg8thUuISn496ynn,0.908,0.176,0.123,0.879,0.208,-16.596,0.0439,109.536,0.0388,Sleepy
1f6FYCO3AuxXcNS1avDGcC,tango,Oblivion (Piazzolla),Ensemble Libertango,Astor Piazzolla: En Angel,https://i.scdn.co/image/ab67616d0000b273276d9427d6e883eb09b41356,2006-10-31,https://p.scdn.co/mp3-preview/a73fef65023352e8ab21281e55409e5205a5982e?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1f6FYCO3AuxXcNS1avDGcC,0.818,0.0725,0.0262,0.935,0.109,-29.884,0.046,183.775,0.0582,Sleepy
2tVv7YO8qTcdnHvnnoIvsj,tango,La Cumparsita,Juan D'Arienzo & Su Orquesta Típica,Juan D'Arienzo:Discografía Completa Vol. 1,https://i.scdn.co/image/ab67616d0000b2734e4d56dd3af191d627ce925c,2003-01-01,https://p.scdn.co/mp3-preview/8737ac3e2b5f165fe5e5f0b1302a49c3330070bb?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2tVv7YO8qTcdnHvnnoIvsj,0.995,0.614,0.182,0.795,0.118,-15.437,0.0547,129.453,0.471,Sleepy
1qYSIeRpf8r1DaGKsXqTpn,trance,In 10 Years From Now,Armin van Buuren,Intense,https://i.scdn.co/image/ab67616d0000b273a7354aa08bc3e76f416f194e,2013-05-03,https://p.scdn.co/mp3-preview/06a635ceea4a81bdac87e7695c289e1d373e5666?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1qYSIeRpf8r1DaGKsXqTpn,0.939,0.103,0.124,0.937,0.0964,-27.571,0.0368,177.105,0.0398,Sleepy
4WA9WGYDiMEynd1RkRrHC7,world-music,Total Lucidity,Pet Music World,"Music for Dogs and Pets - Relaxing Music for Dogs, Cats and Other Friends. Music for Pet Relaxation",https://i.scdn.co/image/ab67616d0000b2736121dc628f2e57e7361ff2d4,2010-09-15,https://p.scdn.co/mp3-preview/ecb4d9dd9a298719f5e859426b14210561584367?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4WA9WGYDiMEynd1RkRrHC7,0.798,0.191,0.0334,0.921,0.113,-22.142,0.0369,78.946,0.066,Sleepy
7mY0Zp8HFyu8DzL2eNQmnb,world-music,Native American Drums,Drums Of The World,"World Drums: African, Samba, Taiko, Chinese And Middle Eastern Music",https://i.scdn.co/image/ab67616d0000b2730712e409fbb6bb3675630c71,2008-09-03,https://p.scdn.co/mp3-preview/c9aa4fb96e4ec5c75b808cfcf8a72fd04a733cbc?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7mY0Zp8HFyu8DzL2eNQmnb,0.393,0.559,0.336,0.952,0.0881,-16.363,0.132,124.212,0.04,Sleepy
2x4UxVa91cfiHP1FJ1HjTs,world-music,Look To The Sky,Antônio Carlos Jobim,Wave,https://i.scdn.co/image/ab67616d0000b27357b4c272355917a789e78e1c,1967-01-01,,https://open.spotify.com/track/2x4UxVa91cfiHP1FJ1HjTs,0.92,0.488,0.126,0.967,0.0909,-22.465,0.0337,132.365,0.624,Sleepy
